id,slug,nome_atual,nome_sugerido,source_id,supplier_code,external_id,marca_atual,brand_conflict,categoria_atual,categoria_desconhecida,quantidade_imagens,preco,status,visibility,readiness_blockers,warnings,needs_name_review,prioridade_revisao
206,adidas-trousers-7a8268,Adidas Trousers,Adidas Trousers,7a8268db9749fceec8877474,77072624,7a8268db9749fceec8877474,Adidas,False,calcas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
207,adidas-jacket-and-trousers-set-638174,Adidas Jacket And Trousers Set,Adidas Jacket And Trousers Set,63817481d48b89c106dcbb7e,77072358,63817481d48b89c106dcbb7e,Adidas,False,conjuntos,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
208,adidas-jacket-and-trousers-set-8623db,Adidas Jacket And Trousers Set,Adidas Jacket And Trousers Set,8623dbb4889d7631022ac441,66072012,8623dbb4889d7631022ac441,Adidas,False,conjuntos,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
209,adidas-jacket-and-trousers-set-cf1f19,Adidas Jacket And Trousers Set,Adidas Jacket And Trousers Set,cf1f198c891f48bafea12ed2,55072704,cf1f198c891f48bafea12ed2,Adidas,False,conjuntos,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
210,adidas-jacket-and-trousers-set-d9690f,Adidas Jacket And Trousers Set,Adidas Jacket And Trousers Set,d9690f34121ad537b82de1c1,66072306,d9690f34121ad537b82de1c1,Adidas,True,conjuntos,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
211,adidas-jacket-and-trousers-set-f94dd9,Adidas Jacket And Trousers Set,Adidas Jacket And Trousers Set,f94dd9d42d44b5f6498cd1e7,66072729,f94dd9d42d44b5f6498cd1e7,Adidas,False,conjuntos,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
212,adidas-15f81f,Adidas,Adidas,15f81f8084400b2c0a3bce03,66072337,15f81f8084400b2c0a3bce03,Adidas,False,,True,12,0.00,draft,hidden,PRICE_NOT_DEFINED;CATEGORY_REQUIRED;CATEGORY_REVIEW_REQUIRED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
213,adidas-63deee,Adidas,Adidas,63deeef29d901618e1efc9a0,66072407,63deeef29d901618e1efc9a0,Adidas,False,,True,12,0.00,draft,hidden,PRICE_NOT_DEFINED;CATEGORY_REQUIRED;CATEGORY_REVIEW_REQUIRED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
214,adidas-90e3b3,Adidas,Adidas,90e3b351c8591bd532c3d66d,66072237,90e3b351c8591bd532c3d66d,Adidas,True,,True,12,0.00,draft,hidden,PRICE_NOT_DEFINED;CATEGORY_REQUIRED;CATEGORY_REVIEW_REQUIRED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
215,adidas-sweater-46d65d,Adidas Sweater,Adidas Sweater,46d65db43aea706128e424da,66072718,46d65db43aea706128e424da,Adidas,False,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED,SIZES_EMPTY;SEO_EMPTY,False,media
216,adidas-t-shirt-414fab,Adidas T-Shirt,Adidas T-Shirt,414fab8df08c87d5e1ea6216,55072228,414fab8df08c87d5e1ea6216,Adidas,True,,True,12,0.00,draft,hidden,PRICE_NOT_DEFINED;CATEGORY_REQUIRED;CATEGORY_REVIEW_REQUIRED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
217,adidas-t-shirt-9eb2b4,Adidas T-Shirt,Adidas T-Shirt,9eb2b405aa2b111c410683fc,88072143,9eb2b405aa2b111c410683fc,Adidas,False,,True,12,0.00,draft,hidden,PRICE_NOT_DEFINED;CATEGORY_REQUIRED;CATEGORY_REVIEW_REQUIRED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
218,adidas-t-shirt-d2b125,Adidas T-Shirt,Adidas T-Shirt,d2b12529dd6a20c3e988b32e,55072226,d2b12529dd6a20c3e988b32e,Adidas,True,,True,12,0.00,draft,hidden,PRICE_NOT_DEFINED;CATEGORY_REQUIRED;CATEGORY_REVIEW_REQUIRED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
219,adidas-trousers-jacket-0c6294,Adidas Jacket And Trousers Set,Adidas Jacket And Trousers Set,0c62940eb44d511bdf44dac6,55072722,0c62940eb44d511bdf44dac6,Adidas,False,conjuntos,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
220,adidas-trousers-jacket-b42587,Adidas Jacket And Trousers Set,Adidas Jacket And Trousers Set,b425876a794619b9bb69d07a,55072703,b425876a794619b9bb69d07a,Adidas,False,conjuntos,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
221,adidas-jacket-19d221,Adidas Jacket,Adidas Jacket,19d221b32dd3964c9ba9158e,66072710,19d221b32dd3964c9ba9158e,Adidas,False,jaquetas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED,SIZES_EMPTY;SEO_EMPTY,False,media
222,adidas-jacket-5a81e9,Adidas Jacket,Adidas Jacket,5a81e971921621f05f52c88a,66072321,5a81e971921621f05f52c88a,Adidas,False,jaquetas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
223,adidas-jacket-6ae8c4,Adidas Jacket,Adidas Jacket,6ae8c46fdd38cf6a65e5ee75,88072416,6ae8c46fdd38cf6a65e5ee75,Adidas,True,jaquetas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
224,adidas-jacket-770985,Adidas Jacket,Adidas Jacket,770985ff625345866a740cad,66072308,770985ff625345866a740cad,Adidas,False,jaquetas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
225,adidas-jacket-7b20ae,Adidas Jacket,Adidas Jacket,7b20aed160a9e20821e8d491,66072305,7b20aed160a9e20821e8d491,Adidas,False,jaquetas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
226,adidas-jacket-a27eb1,Adidas Jacket,Adidas Jacket,a27eb1cd497815ad3b012933,55072406,a27eb1cd497815ad3b012933,Adidas,False,jaquetas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
227,adidas-jacket-a5881c,Adidas Jacket,Adidas Jacket,a5881cc410214cab7e6e582b,88072436,a5881cc410214cab7e6e582b,Adidas,False,jaquetas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
228,adidas-jacket-af3f87,Adidas Jacket,Adidas Jacket,af3f87ded5ce202d40ca3e71,66072011,af3f87ded5ce202d40ca3e71,Adidas,False,jaquetas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
229,adidas-jacket-b25662,Adidas Jacket,Adidas Jacket,b2566293c26a8637c3827dc2,88072142,b2566293c26a8637c3827dc2,Adidas,False,jaquetas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
230,adidas-jacket-bb8839,Adidas Jacket,Adidas Jacket,bb883968f8c323eb3b9af169,66072704,bb883968f8c323eb3b9af169,Adidas,False,jaquetas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
231,adidas-jacket-f4fced,Adidas Jacket,Adidas Jacket,f4fced919e85c80b23befdda,66072319,f4fced919e85c80b23befdda,Adidas,False,jaquetas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
232,adidas-hoodie-406240,Adidas Hoodie,Adidas Hoodie,4062406484e35d1649e7f4e8,66073029,4062406484e35d1649e7f4e8,Adidas,False,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
233,adidas-hoodie-5c82db,Adidas Hoodie,Adidas Hoodie,5c82db78a94951ab8484fca0,66072731,5c82db78a94951ab8484fca0,Adidas,False,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
234,adidas-hoodie-b86447,Adidas Hoodie,Adidas Hoodie,b86447929b340b5fb74c97d3,88072409,b86447929b340b5fb74c97d3,Adidas,True,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
235,adidas-hoodie-eb58b5,Adidas Hoodie,Adidas Hoodie,eb58b5f851dd17c2d0b490a1,66072723,eb58b5f851dd17c2d0b490a1,Adidas,False,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
236,adidas-hoodie-f7e056,Adidas Hoodie,Adidas Hoodie,f7e0560a66afb74dedc59999,66073037,f7e0560a66afb74dedc59999,Adidas,False,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
237,adidas-sweater-208d64,Adidas Sweater,Adidas Sweater,208d64064032a1b0f2bdec5e,66072730,208d64064032a1b0f2bdec5e,Adidas,False,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
238,adidas-sweater-460ad5,Adidas Sweater,Adidas Sweater,460ad5dc404d4410720483f9,66072706,460ad5dc404d4410720483f9,Adidas,False,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
239,adidas-sweater-4fd1e8,Adidas Sweater,Adidas Sweater,4fd1e8cdce3cbcfe3a75a822,88072417,4fd1e8cdce3cbcfe3a75a822,Adidas,True,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
240,adidas-sweater-61a5fa,Adidas Sweater,Adidas Sweater,61a5fa3a85968f73a0ed152e,66072602,61a5fa3a85968f73a0ed152e,Adidas,False,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
241,adidas-sweater-b4967d,Adidas Sweater,Adidas Sweater,b4967dbb9cc529374be600f0,66072301,b4967dbb9cc529374be600f0,Adidas,False,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
242,adidas-sweater-b8cd7f,Adidas Sweater,Adidas Sweater,b8cd7f5befa10bd1cde2bca9,66072603,b8cd7f5befa10bd1cde2bca9,Adidas,False,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
243,adidas-sweater-da4ed3,Adidas Sweater,Adidas Sweater,da4ed3c8f466dfde5074cbf4,66072732,da4ed3c8f466dfde5074cbf4,Adidas,False,moletons,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
244,adidas-shorts-082ed4,Adidas Shorts,Adidas Shorts,082ed426ef145d6008e1d792,66072307,082ed426ef145d6008e1d792,Adidas,False,shorts,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED,SIZES_EMPTY;SEO_EMPTY,False,media
